gene study_attention
HNRNPH1 110
SMIM3 50
BCL11A 19
RPL30 138
KRBA1 23
CCNE2 11
TMED8 39
RETSAT 18
NRSN1 7
BEST1 4
VAMP7 19
PPM1D 40
NAA25 6
H2BU1 1
DYNLT3 13
WFDC5 4
NDUFA8 61
PTBP1 58
SRPK2 87
NTN4 10
USP27X 2
PICK1 371
CTBS 3
ATAD2 10
VWDE 7
CFAP77 1
RIPK3 93
CHD7 18
GIPC1 26
CABYR 3
ZNF516 6
EFTUD2 73
HMBOX1 105
UBQLN2 249
SIMC1 17
CIDEB 66
CLEC5A 15
CYP3A4 1
LMX1B 19
ERV3-1 1
RPL38 43
MLXIP 3
HUWE1 83
NIPSNAP3A 23
WDTC1 26
TRIM71 14
NUDT10 8
GRIK1 2
SLC26A1 1
ZNF787 3
TEKT1 25
NACC1 26
IL1RAPL1 1
SIGIRR 2
UBE2M 51
MSANTD2 1
GRK3 2
NLRC4 7
FADS1 20
FCGR2C 8
FBXW7 58
SSRP1 77
PGA4 9
CLINT1 72
RILPL1 10
RIMS2 5
MPZL1 37
EPC2 24
SVIP 11
ATXN10 37
POC1B-GALNT4 1
PRPF19 86
NPRL2 14
TCF3 33
MYOF 17
KDM4B 17
GLUD1 37
ADORA1 5
TUBE1 5
PLXDC1 3
INCENP 14
TMEM52B 91
CDC7 36
PREX2 4
NOS1 2
BCAT2 7
PHF23 14
SLC16A13 20
DHH 7
KHDC4 28
ZNF706 2
INTS14 35
FAM133B 3
NAA35 4
BMP4 15
ACTL6A 62
MBD3L1 58
BCAM 26
ANXA5 13
DHCR24 25
ARMC6 65
HEY1 14
LYL1 2
PSMD8 34
NFKB2 114
CYB5R2 16
COX7A2L 11
WDR36 30
C4orf3 66
SPIN3 5
HIGD1C 12
FER 14
APH1B 3
CLEC14A 18
PXDNL 3
ANKRD46 78
FAM71A 2
TNKS2 27
CNOT3 29
B3GALT6 4
ZNRF3 8
LRG1 6
NGFR 21
MKS1 79
THAP5 2
KLHL38 92
PIGM 10
MCTP2 1
ELF3 32
SLCO1B1 9
LIPE 3
SESN2 18
RTL1 1
PTCH2 1
FADD 64
RBP3 11
TMEM176B 1
TRMT11 12
C1QTNF8 1
TOR2A 3
ATRN 4
GHRL 2
BMPR1A 56
SASS6 75
TC2N 2
CRYBG1 12
NPL 4
ACTR1B 36
URB1 32
IGLL1 5
MYT1 1
TSKS 28
NTRK3 33
IQSEC1 16
PRIM2 22
NECAB2 84
EIF2B5 26
APOBEC3F 6
EYA1 5
KBTBD6 30
EIF5A2 13
GSX1 1
ENTPD3 15
MRPL36 2
TSN 24
FBXL19 17
MKNK1 27
DPYSL5 20
SMAD9 102
SLC2A4 4
EMILIN3 16
MED11 27
CLDN2 18
CAPN7 21
GABPA 13
NR2C1 4
KCNN4 12
HPS6 10
PPBP 29
CRABP1 7
CHAC1 1
PCLO 2
GOLGA5 40
SRBD1 24
BCAN 6
TM7SF3 1
KRTAP11-1 103
CNFN 16
TLR6 4
NUFIP2 79
POLR3H 12
MLLT10 24
RBM27 25
RIN3 70
ENDOD1 16
LRRC56 9
GABRB2 2
KRTAP12-3 136
LY9 2
FLRT3 5
TPD52L1 15
EIF4B 26
NODAL 2
ACHE 4
RBM15B 22
IFNA16 1
HOXD4 5
UTP20 19
NFKBID 108
PLPP2 10
ARFGAP2 10
TOMM6 12
TNFRSF10C 29
CALCR 8
PSMA4 43
FAM122A 14
KRTAP9-4 27
TGOLN2 437
RALGAPB 21
SLC16A3 13
TRAPPC3L 1
ZCCHC17 46
CCNF 4
TTC1 33
VPS33B 22
DRC3 2
BIN2 5
AP1S2 35
PCK2 37
GSTA1 6
GJA1 34
AP1S1 11
EZHIP 7
ARL8A 11
NMI 45
CCDC112 16
IFIT1 42
FMN1 4
TRIB1 24
MAGEA11 74
ELMO2 10
PIK3CG 11
EOGT 19
LYNX1 9
BLOC1S1 22
LPL 16
CLEC17A 23
CCR1 21
REEP2 30
PCDHGA5 51
CFHR4 9
JSRP1 13
ITGB4 57
TSGA13 2
CNOT4 9
IL1B 4
RGS19 17
PEBP1 25
HIPK3 20
ACADL 6
IL22 3
COL1A1 25
ENPP6 29
SULT1A1 6
MYOM2 19
PDZK1IP1 70
MYOCD 3
TRPV4 4
GOLGA6A 44
CEMP1 2
PEX26 5
DSE 9
TYMSOS 7
SUN2 78
CNOT1 71
NHLH1 4
BOD1L2 5
CD81 108
PRPF31 179
ADAM11 3
UBE2F 9
TP53BP1 318
ACTL7A 1
PIMREG 29
NDUFAF4 48
RPUSD4 11
GATAD1 12
SYTL1 2
CRCT1 51
KDM5A 11
POU2F1 28
CD24 1
ZNF529 1
COMMD3-BMI1 1
ZBTB14 50
CLPP 99
CUX1 41
KPNA2 82
AGAP3 15
SUDS3 24
CIAO2B 22
TRIM23 185
FBXW2 20
KLHL28 12
GJD3 1
MS4A7 11
RXFP1 4
POLD2 19
INHBE 11
LGR5 1
DSC2 13
SULT1C3 1
ERI1 5
ZNF593 18
CCNG1 22
ZNF483 36
MMP24 1
BMI1 46
TIMELESS 20
CDIPT 73
ZSWIM2 6
CDC27 65
OR10H3 6
NAA11 13
HLA-A 75
COPS6 293
CXCL14 24
PKLR 10
SRCIN1 5
MYH4 14
LIPF 7
SRGAP1 13
OR5H1 1
DDX19B 89
USP35 3
DERL2 19
CKAP2L 3
ABCD1 17
TUT4 12
BBS5 18
NLRP14 1
WIPF3 3
GNB4 33
C6orf136 3
TSPAN17 25
KLHL42 51
MAGT1 16
AP4B1 8
ZNF16 37
CHSY3 15
CAP2 24
PLAC1 17
TYW1B 11
ETV3L 1
MXRA7 4
TMUB1 14
LTBP2 3
PPP4R3B 17
BZW1 26
CEP350 43
HAL 30
SLC39A12 69
LAMB1 32
PCBD2 11
FNTB 52
UGT1A6 9
LENG1 90
PWWP2B 6
TOE1 52
G3BP1 92
FCSK 4
PPP1R12C 26
TBRG1 2
PYCR1 37
KIAA1841 4
NPAS3 2
COG2 25
ADGRG5 78
TENM4 10
DNAAF3 1
DAPK3 35
LEMD3 42
SYT5 6
CYSLTR2 33
GNB3 9
KIF3A 69
IDH3B 32
COX5B 55
CHTF18 11
HDGF 119
WHAMM 3
ANKRD6 2
ZDHHC13 6
CCDC97 19
DYRK3 5
PPP2R2A 61
FAM3D 1
CABIN1 14
SPACA6 1
MAVS 60
ZNF726 1
MYO1G 5
PVALB 1
AGXT 36
C9orf40 5
USP6 5
MTMR4 27
A2ML1 24
GYS1 64
KBTBD4 17
ANKS4B 3
SLC6A6 6
TPD52 25
DMXL2 13
IFI27 3
TMEM108 25
HHEX 20
STOX1 8
VGLL4 15
NFS1 46
FAM168B 52
FOXH1 91
GSTCD 11
SLC2A1 23
SGF29 88
JPH4 59
C1QTNF5 3
FAM83B 24
TMEM177 4
OSBPL2 10
NUSAP1 17
RSRC2 26
CACNA1A 89
GLYATL3 1
ABCC5 5
KIF2C 60
TCL1B 35
ANO8 2
SELENOI 1
GTF2H2C 18
MORC2 11
PIGO 10
PELP1 32
CDC42EP1 14
PLBD1 12
STC2 13
BAD 24
PSMC2 67
PBX2 56
ASB14 1
SAMD7 9
SSTR4 3
NEDD4 49
BPGM 11
GNRH1 7
ZNF524 26
THBS2 11
FERMT2 32
TLN1 41
COCH 14
ACO2 7
ABCA2 21
SMYD1 39
CTNND2 9
RPS28 35
VIL1 7
ISLR2 5
ABHD15 13
IL1R2 39
TRIM11 55
ZNF517 25
RSPO3 1
PPFIBP1 23
ACSL6 3
TAF15 43
USP20 53
DPM2 2
TECPR1 15
ACBD3 42
MKRN2 26
TET1 2
CMC4 3
SRSF8 30
INPP1 3
ERVFRD-1 20
KHSRP 51
DSCAML1 3
TMEM252 5
CYP2U1 1
CRYGB 1
SLC5A1 1
EPHA2 57
ANKRD34A 1
CNIH4 10
PTCHD3 1
SPRY3 26
BTN1A1 5
SIRT7 8
ZNF404 1
TKTL1 5
ZNF695 12
PPP1R12A 59
NPM1 295
IFNA21 25
FAM199X 8
PSEN2 27
WNT10A 1
HLA-E 37
SNX3 52
CCDC105 3
GEMIN2 49
KLHL40 39
C1QA 11
IQGAP3 17
SPAST 16
SETDB1 128
SLC38A4 1
ZBED1 55
VIRMA 28
SLC25A37 1
CEP131 70
TCTN3 308
PCSK1N 7
SV2C 6
C12orf43 11
SH3PXD2A 18
SETD9 4
GARRE1 11
DLG1 101
SMCP 64
FBXL8 6
YARS2 42
PDE1A 2
WDR81 10
CXCL17 17
RYR1 11
TNFSF12 8
ZNF687 27
WASHC2C 9
CMC2 8
RPL35 48
MADCAM1 3
PRR5L 18
NUMA1 42
NBPF3 1
PRSS53 1
KLHL23 25
PLCB2 1
CHD8 42
CLUH 23
PEX7 21
RIN1 54
TNFRSF19 48
VHL 247
ASZ1 10
TRIM35 54
GSDME 16
LYSMD1 12
ST3GAL3 5
ALOX15B 11
ACSL3 35
MTMR9 32
PKIG 10
BLOC1S4 8
CCN3 16
RFC5 64
TEX101 2
TNFAIP8L3 2
HPS1 5
CENATAC 18
SRSF6 34
ACYP2 3
KMT2E 6
PPIAL4D 2
SPATA20 63
HSD17B8 15
FLNB 56
SDAD1 25
SMAD2 218
PRF1 5
UTP18 17
KIF7 59
MYBL2 17
FAHD2B 2
PRKAA2 131
CDR2 97
CAPN13 12
PHYKPL 5
MAP2K1 66
MRTFA 12
PPP4R4 2
EMX2 2
AIDA 17
CCDC170 4
SERPINB9 27
GUCA1B 1
RASSF9 33
WNT4 14
ECI1 6
TRAPPC1 25
OR52L1 1
ZCCHC14 8
PFKFB1 15
RPL32 56
ARHGAP32 26
LPIN1 4
AGR2 93
SMIM7 2
NT5C2 16
DHRS4 40
PPFIBP2 8
ENOPH1 14
NXPE2 5
ESCO2 12
TBCE 12
SLC4A1 10
CNNM1 26
AAK1 19
MPHOSPH6 40
CACNA2D1 23
IL2 3
ITLN2 2
ZNF785 83
CIP2A 35
DCLRE1A 3
FNDC8 5
SNX27 54
P2RX1 15
TMEM120B 67
PI4KA 66
SPINK2 25
ZNF675 3
FOXR2 35
CACNA1H 4
STK3 79
IL33 4
OPLAH 5
SRSF11 29
SYDE1 8
C7orf50 22
HMBS 4
ZSCAN31 11
MTPN 26
MAMLD1 1
FXYD2 2
TTC25 20
RANBP6 45
ELK4 2
CACYBP 103
NEUROD4 3
FAM204A 7
TACC3 71
ZNF625 5
PLOD1 61
NOS3 35
ANKRD40 26
CCDC18 20
PLA2G6 13
PDE1B 3
MOB1B 36
INPP4A 4
NUP155 53
RPL23 87
TNFAIP6 25
MAB21L2 105
SLC6A4 2
ZDHHC1 19
FKBP7 77
SLC14A1 8
TEX35 31
CAMSAP2 26
RNF130 21
PARP15 1
OSBPL9 24
SLPI 17
PMVK 29
LEPR 14
ZC3H7B 8
PPP1R9A 26
TENT5B 55
KIAA1217 26
ZBTB10 41
MRNIP 10
RBSN 18
SPRYD4 18
ZNF441 8
C20orf194 2
ARL14EP 8
DYDC2 5
INS 9
DYM 16
PTGER3 77
RCC2 34
EBLN2 8
TFR2 3
ZNF92 14
SLC30A1 20
TXNIP 21
CXorf66 11
TBX20 5
CYTH4 17
KIF20A 24
UBXN10 6
BCAP29 5
TGFBI 2
CNST 4
NCAM1 21
PRR11 63
TFAP4 38
OXR1 3
F2RL1 73
EEF1B2 50
FGD1 8
CCDC103 32
ABCA6 1
PCBP2 49
SLC39A10 19
TNFAIP8L2 3
FSCN2 4
ADAMTS12 14
PDE7A 3
DDRGK1 30
AKIRIN1 4
FMNL1 11
ZNF510 23
RGL2 13
UBAP1 6
REC8 10
CT45A3 7
ZNF184 12
DISC1 647
USP50 21
GFM1 19
GFI1 13
CIAO2A 23
SIDT1 1
VEPH1 5
IL5RA 5
DCUN1D4 3
FCN1 13
PSMD6 89
SEC14L5 1
TACO1 26
TREH 1
TGM1 54
TFG 150
HDDC2 5
RBM45 40
RIMBP3 31
HGFAC 12
PRR3 31
SLC51B 4
SIGLEC8 1
GXYLT1 12
LAPTM5 31
FDX2 2
C9orf78 13
RGPD4 2
PRPF8 64
HELLS 38
POF1B 51
RHEB 30
ERG28 119
KLF16 17
RPL10 283
RASL12 3
ESRRG 44
RXYLT1 13
MRTFB 11
VPS37D 13
WBP1 27
C1orf87 16
PHF20 11
RAB23 6
NPFF 1
ROMO1 5
PTPRF 26
ATP5MF 30
ANKRD28 103
KLHL5 7
PLSCR3 32
PSMD11 94
RBM28 64
CLCA1 1
TRUB1 7
PLEKHO2 17
GGA3 26
MYO1B 66
LRRC4C 48
PTCD2 17
BDH1 16
MAGEF1 6
PLCB1 12
SIRPA 6
SLTM 19
CIC 21
PPWD1 2
ARAP2 2
UGT8 23
C17orf75 14
SOAT2 3
SNX6 41
TBL1XR1 33
LIN52 9
AAGAB 19
RNF13 28
ZNF710 3
TGIF2LY 25
TTC38 4
GATA5 7
CLDN17 1
APPL2 36
LSM14B 21
CYP4B1 2
USP17L7 3
COMMD8 44
MAP4K1 19
ARSF 2
RDM1 7
TRPM2 1
TMEM92 12
TREM2 6
TMEM94 12
SARNP 34
ZNF770 9
HERC1 30
PDIA3 66
PPP3R1 27
KATNB1 35
MUC13 11
MIOX 2
BAP1 56
RPUSD2 7
GNA14 4
EPS15 68
ALOX5AP 8
NOL4L 4
SLX4 151
SNX25 4
CDYL 31
RASD1 26
PDP1 18
GOLIM4 37
PRDM15 8
DNAJB8 8
MFAP4 3
RBMS2 6
CCN2 15
ZNF507 14
GLRX2 3
PCYOX1 12
RNF111 48
DR1 10
DNPH1 6
JOSD2 22
DNAH5 1
CEP57 44
C11orf24 11
MTTP 1
SFT2D3 1
CYYR1 2
KRT85 45
CAST 21
RPAIN 5
FOLH1 2
FILIP1 2
MAP3K8 27
SPART 48
RPS16 75
E2F1 36
NRXN2 3
ZNF582 1
MYPN 4
KAZN 11
TAF7L 20
UNC5C 3
THSD7A 14
TRPC1 5
CDKN2B 20
GRAMD1A 31
ADO 8
RANBP2 53
ZNF80 9
CNPY4 8
SPAG7 7
KIF14 54
NUDT19 22
HEATR6 15
PHLDA1 8
PRKG1 15
ADCY1 1
SPATA33 2
DEXI 7
RSPRY1 40
GBA 29
CDC73 89
NAMPT 21
RNASE2 2
ETV5 8
MYL6B 18
RNF44 9
P4HA3 97
GLP2R 2
IMPACT 17
SERPINA6 3
DSC3 4
RABGGTA 22
PAN3 7
C1S 5
ROBO4 6
ZFYVE28 1
CES1 10
PCDHA5 2
REEP3 11
VIT 2
DDX55 13
DOHH 6
GINS2 10
TRA2A 104
DAD1 17
MICA 28
HBE1 6
MYO7A 4
GGNBP2 4
SIGLEC6 12
ANKRD29 16
CTSB 23
SEMA4F 8
GPS2 70
SLC22A6 19
CENPH 39
TYW3 26
ZBTB18 13
PCOLCE 16
TMEM209 16
NYNRIN 5
LCE2D 52
PKD2L1 2
TECTA 1
FBXL7 6
RHOA 69
SULF2 17
FBXW11 103
EIF3K 38
PRSS12 3
HAUS8 59
OR8D2 1
TRIML1 2
PDHB 47
FXYD1 10
HERPUD1 16
EPPK1 45
CARMIL2 4
IFNL3 2
GMEB1 15
CORIN 4
LRRC69 1
TP53I13 3
MBD4 15
S100A14 13
ALDH1A3 5
DNAJC19 19
CARD19 8
CRB3 24
RASGRF1 3
SLC35B2 31
TMEM74B 1
GMPR 3
DIXDC1 13
PIK3R3 145
TTC19 69
HJURP 16
CD55 5
ATP5F1B 142
TRAF3 58
PSMB6 31
ZP2 11
SLC38A1 75
CLRN2 12
KRT80 29
HNRNPDL 58
AREL1 6
SNX20 18
SPO11 1
ZC3H12C 2
BECN2 6
CHRFAM7A 1
UTP15 22
LENG9 3
ZBTB1 28
WBP2 18
NCOA4 15
TIPARP 1
ZNF48 28
SAMD4B 25
IFI44L 1
ARFGEF2 28
TUT1 25
GPR101 18
VMA21 48
RPE65 3
TMEM91 1
TRPC7 1
MYL9 14
NEPRO 21
EIF2S2 39
NECTIN2 44
USP53 22
WASHC2A 26
OPRL1 7
ARID2 22
KIF5B 82
GOT2 33
POLH 20
OST4 2
MN1 1
FAM50A 5
TEX13A 21
RBP5 2
APBB1IP 7
SHTN1 23
AVPR1A 4
POU1F1 12
USP5 17
FEM1B 38
HSD3B2 17
TMEM109 31
CD9 87
ZNF302 13
SLC15A3 8
TMEM141 2
GGACT 4
NRM 59
TFAP2B 4
ATP8A2 1
SERHL2 6
TIMM8A 23
N4BP1 5
POGK 7
SUCNR1 1
CRIP2 16
NT5DC2 21
SLC1A2 3
CSTF1 17
CD163 1
TMCC2 17
PRKAR1A 86
ZNF521 10
SORBS1 29
NYAP2 4
UBN2 14
TEAD4 44
IGLL5 14
SPANXA1 4
PPP1R12B 14
ANKRD33 10
ZNF324 19
CTSE 9
MGST2 26
C18orf63 4
CCNE1 19
EFNA5 38
C8G 6
LPCAT1 11
HSF4 43
STX16 20
IQCD 1
MSMB 1
TPGS2 10
KCTD18 5
BCL7B 22
BCL2L2 57
CD101 4
PAX3 15
GRIA2 14
ARPC1B 31
SMAD3 145
OVGP1 1
SHC4 1
MTG2 21
ARR3 11
ASTN2 2
RIT2 5
PCP4L1 1
SNX9 59
IGFBP3 19
DPP8 12
SCN1A 2
CNIH2 6
MNX1 1
SFXN2 8
MAN2A1 7
TBCEL 6
TPRX1 14
RNF113A 16
STAT6 11
COMMD2 32
CPLX2 12
DHRS7 35
MAPK12 12
CCDC92 35
FUT11 23
SCARA5 17
SDR16C5 12
SHD 7
SLIT1 15
MAPK8IP1 21
PPP1R27 10
SEC24C 27
TMEM140 47
COMMD3 44
SH3PXD2B 10
KIAA0930 18
KLHL8 28
SECTM1 2
ZFAND6 6
CDC40 26
ZBTB17 14
FUBP3 38
TMEM31 2
PPP1R13L 21
TK2 3
QRSL1 14
CC2D2A 36
HSPB3 17
COQ10B 11
GYPA 40
RRP36 3
ZNF619 2
C17orf97 1
GKN2 2
IL17RA 65
TOM1L2 10
ZNF552 33
CHRNB3 2
ATP11B 1
SLX4IP 26
MSR1 13
PRSS33 4
VSIG2 25
GATC 27
PHTF1 3
SPACA9 11
ANP32A 18
CNNM4 11
GPS1 45
PITPNM3 3
NBAS 24
NCOA6 31
SCYL3 12
TRIB3 80
LYRM4 29
PTAR1 7
EPCAM 2
TRO 22
WIF1 9
DYSF 46
KLF13 4
CYTH3 13
COMT 79
THEM4 20
ARMH1 1
CCNT1 34
TCEANC2 22
PMAIP1 10
GSG1 10
FAR1 16
SOHLH2 1
APOL1 1
IKBIP 55
KANSL1L 2
CARHSP1 20
TNFSF10 14
DUX4 172
MT1E 1
ANGPTL4 23
DHPS 34
GRAMD1B 20
LCN15 7
DSTYK 36
JMY 15
PCTP 2
TLCD4 77
CLCN2 27
KRT81 25
PGBD5 1
MATK 8
ITIH2 14
PTK7 39
KAT2B 37
SKA3 37
ODF3B 8
NTHL1 9
SPG11 5
ZNF34 2
ABHD10 20
COMMD10 27
RAB39B 22
EXT2 24
TRPC6 2
PDZD4 15
HRC 5
ARSJ 1
PRRT3 1
NF2 62
IL2RG 11
SAXO2 2
DDR2 11
SNX16 3
FAM83C 4
PAXIP1 28
TMEM52 1
ARHGAP17 13
NAGK 61
DRP2 2
AOC3 16
BAG1 41
TFE3 43
SPICE1 148
TP53TG3 1
ARSI 4
OTUD5 22
CCT7 185
GNB1 45
KCTD9 96
RGL3 6
TMEFF1 20
PTPN18 8
A1BG 16
JAK3 43
CLN8 1
LRRC29 7
NT5E 40
TM9SF3 11
CRHBP 11
ZNF266 13
HEPACAM 1
RHOJ 23
PEX16 35
DSG1 37
SHOX 8
AGFG2 3
CACUL1 3
FAF1 53
S100A6 21
INPP4B 1
FZD4 3
C3orf38 2
STEAP3 25
SLC25A32 12
HGF 6
ZNF800 15
REEP5 74
LAMC1 18
KRTAP6-1 83
ITGAD 1
PCSK4 1
SLC39A2 51
ZRANB3 11
ZNF480 2
CCNT2 13
RAPGEFL1 1
DNAJC3 5
CCDC102A 21
ENO2 33
RNF103 9
HERC4 15
ANKRD12 5
CA8 29
GTPBP8 11
ACAP3 3
S1PR3 3
UBA3 17
FBXO8 2
FXYD6 62
TUBGCP3 29
RAB11FIP1 20
PRPF6 55
CDH20 1
TMEM161B 6
THTPA 6
LRRTM1 38
NFKBIA 89
TRIM49C 3
JDP2 15
NOSTRIN 11
SIAH1 110
NSUN7 2
PACS2 13
IDS 29
PTHLH 1
ZNRD2 102
VPS37C 89
ALG10 20
ARL10 24
GSPT1 25
ELAVL4 5
ENTPD7 23
GPHA2 18
RNF5 61
SOCS1 9
ELN 5
TCP11L2 12
TSC22D4 49
EIF6 96
CWF19L2 97
NUBP1 2
SNAPC2 1
PSMG4 14
GCM2 30
TUBA8 24
SP8 1
ATXN7L3B 2
MRPL16 30
BBS10 18
STIL 89
SLC12A5 4
HAUS4 43
IGSF11 3
TEC 11
DPY19L2 1
NFATC1 58
MICALL2 14
POU4F3 5
CYRIB 12
PPIAL4G 18
ATP1B3 44
IGSF3 10
PPAN-P2RY11 1
C11orf49 28
PCGF5 38
FBLN1 55
UBFD1 3
COQ6 59
RNF141 5
AIF1 1
H2AC13 51
POLR2C 70
SLC9C1 1
DNTTIP1 26
RRAGA 15
VXN 5
DDIT4 10
TSSC4 63
PKDREJ 1
TTC9C 33
ARHGEF40 6
SKI 16
SLC45A4 2
FOXI1 38
SSBP3 38
MKRN3 167
SAP18 59
OGN 9
BCL9 6
GUCA2A 13
FUS 192
AMT 2
GPR55 2
RELT 13
KLHDC4 7
SPDEF 15
ABCC3 1
C1orf167 1
LRCH1 12
TBC1D23 15
FNDC3A 32
SDS 3
CCT6B 57
NMT1 34
NLRP12 18
PLEKHH1 3
TTI2 16
NDUFS4 45
ITPRIPL1 9
CSTA 22
THAP4 50
SH2D4A 79
C6orf226 8
PFKFB3 15
ZNF891 1
POFUT1 4
FAM214A 8
STXBP4 23
HECTD2 2
RAET1E 19
PCBP3 36
C19orf54 68
RABEP2 11
CCDC12 21
SEPTIN2 45
WFIKKN1 9
NOL4 13
KCNK16 12
HSD17B3 18
CXCR3 7
UTP14C 22
ZDHHC5 12
MKRN1 33
KRTAP10-6 69
APLP2 23
RBCK1 71
KDM6B 5
CDKN1B 47
TRIM68 39
KCNB2 6
MYL2 12
CYGB 10
GOSR1 30
PIWIL4 12
SGTB 182
ARL14 3
SCNN1G 4
ARRDC2 2
NAT8 25
BEX1 22
SORCS3 3
TRAPPC6A 41
SPOUT1 16
NAV2 10
GLMN 70
MRPL57 23
ZNF146 15
ODF2L 17
TIGAR 6
WNK1 69
MIOS 27
STRN3 70
CLMP 9
SCARB1 29
NAIP 1
TMEM14C 40
PRDM16 2
TIMMDC1 119
RAB37 2
DDX19A 18
CCDC40 25
ERLIN1 39
IGF2BP3 46
YDJC 3
ZNF384 5
PRKCZ 34
PIM3 1
ATP6V1G1 26
FOXD4L4 1
NGF 5
PTGER2 3
CENPV 26
MARCHF2 25
ATXN2L 30
ARID3B 14
DNAJB4 34
SMYD3 19
ZNF704 18
CDK5RAP3 43
PRKAR2A 38
RPL18 139
SEMA6A 15
COMP 15
EPHB4 27
KLRF2 1
EIF3A 80
TNFSF13 4
TRMU 7
SF3B2 71
AMACR 3
LRRC28 4
CNOT6L 27
AMOT 89
ELFN1 2
CRTC1 8
CLC 2
TBXT 1
RNF20 49
ZCCHC9 14
LARGE1 7
IFT80 19
THEM5 3
MICU3 2
ITM2B 26
FAM160B1 3
BEND6 1
ZP1 3
APOC4 23
TMEM255B 7
PHGDH 44
RTCB 41
SARM1 14
CDC14A 8
GMDS 11
MLANA 4
NOP58 44
PIGG 7
AGO3 66
PES1 59
IDUA 2
TANC2 12
LYZ 28
NAB1 4
DDX58 20
ZNF282 7
FZR1 42
ZSCAN25 27
KLHL12 64
HCK 85
NTAQ1 398
CTSL 15
PPP4C 45
WNT3A 17
CMTM3 23
HSPG2 24
CCDC86 19
CALM2 3
NLRP7 2
UNC45B 10
PSTPIP2 9
CMTM8 2
FAS 54
TCP11L1 26
MIF 40
GSAP 1
DCTD 11
TUBG2 22
HTT 391
ZNF568 2
SATB1 32
LILRA1 1
ANO4 1
CDKN2D 48
NGDN 20
MRPL10 68
TRAPPC5 37
CTBP1 84
FILIP1L 2
MTMR3 26
MAGEB16 1
ARVCF 12
TFF2 1
CCDC174 9
LRIF1 79
PBLD 14
ABCG4 8
TRMT44 8
TMEM131 18
GTF3C3 45
IL17RD 5
QPCTL 15
MYL10 3
TMEM101 18
GSDMD 7
ASB9 16
FLG2 19
FAM98B 15
PER1 23
METAP1 17
CLCF1 2
CNOT10 34
ARL4A 8
RAB5C 118
ZNF776 1
PUM1 23
DBF4B 18
ALDH9A1 8
NAT10 58
TJAP1 17
TBC1D3H 1
ACOT1 14
TERT 21
CYB5B 57
CBLN4 13
CSRP1 10
AMELY 1
RARS1 47
EIF4A2 59
IFIT2 38
CLEC7A 46
CYP11A1 4
RFFL 6
NSG1 32
GGCT 7
F2R 7
KIF24 18
DPYSL4 19
NR4A1 69
MIP 40
TMEM167A 1
CAMKV 56
CYP1B1 5
TAF3 8
DNAJC2 10
TRMT10A 3
HGS 236
HOXA9 4
FECH 36
EDN1 5
CNTFR 7
TOR1AIP1 41
IMPA2 17
GNAT2 7
POLG2 14
XCR1 1
GALC 13
NAA40 14
SOCS5 3
DOK7 5
RAPGEF3 4
PRG3 31
PIGU 17
MAGEA9 5
USF2 25
H2AC20 12
ZNF808 1
HMOX1 44
FAM180B 1
ECHDC2 9
OSBPL11 12
HSPB11 22
TFF3 3
SHKBP1 32
RFPL4B 34
MED28 53
TIGD4 2
CUL9 7
ATF2 198
STAT2 28
CREBBP 60
C1orf105 7
NUDCD3 118
CLCC1 24
TECR 58
MAP7D3 34
CDHR5 13
FAAP24 9
CHD6 9
POLR3GL 24
DPP9 24
KRI1 28
DBN1 211
SYNE4 87
SLC22A11 1
GPR18 10
MPPE1 71
TMEM185A 44
SNRPD1 59
MYEOV 4
LIMCH1 19
TMEM100 33
METTL6 9
ATP9A 28
SRARP 5
FOXN4 6
TSEN34 4
ARPC5L 31
ARHGAP1 19
HTR3E 4
MAX 97
GMFB 3
RNF113B 3
F8A1 3
PTDSS1 11
EPSTI1 18
FBXO28 62
CHUK 55
ACADVL 27
FOXP3 72
ADAM21 28
OXCT2 17
STAT5B 36
BORCS5 11
TPRA1 25
STK26 43
AASS 8
NOVA2 3
RAD9A 9
PPP2R3C 30
FAM78A 1
HPS4 3
CETN3 29
PHF6 12
STYXL2 1
SIK2 26
STXBP5 9
RIPOR2 5
RPL22 65
GGA1 44
DGKB 2
LBHD1 10
PNMA1 161
HSPBAP1 7
N4BP2L2 29
FAM189B 74
IP6K1 16
PPP1R3D 11
MTA1 79
FOXJ2 75
GAD2 40
BIRC7 38
DYNLL2 58
CCL21 31
RNASEH2A 31
JOSD1 27
RHBDD1 22
TMEM45B 38
SLAMF8 3
LYPD3 85
ABCF2 27
SEC16A 157
GUCY1B1 11
AK5 8
GRAMD2A 3
CLPSL2 1
MRPL2 26
FAM228A 19
DUSP6 11
MUC3A 1
DUS2 4
ADIPOR1 20
IL10 5
RASA3 1
DHX34 5
SDHAF3 16
ADD2 13
SPANXN2 43
ADRB2 85
CRISP3 1
SLITRK3 1
GZMK 1
NCOR1 71
POLR2F 58
NR2C2 25
GTF2A1 14
MPG 46
FBF1 131
HUS1 26
FAM133A 18
FBXO45 9
RAP1GAP 8
SMYD2 40
C1orf52 13
KRT2 38
KIF2B 42
SLC39A14 17
MAP11 20
PRSS37 11
MAPRE3 63
STK36 8
FBXW10 1
CDC123 10
RORC 20
CFHR2 2
DNAH9 1
ZBTB42 56
RBM14 80
ARID5A 119
CDH3 5
CRYBG3 10
KPNA5 18
AKT2 25
GPR25 31
POLR1B 20
RASL10A 4
GMPR2 4
NGLY1 19
IQCF1 30
FLNA 227
CCDC198 35
