gene study_attention
GSX2 1
KIAA1958 16
BTBD16 1
DPF2 44
ORC4 29
NPC1L1 1
CCDC71 2
ZNF354A 9
SYNGR1 28
TMEM107 46
CCDC114 7
HSPA6 63
ST6GAL2 15
SIGLEC10 8
PHF11 5
TMEM230 14
SH3BP5L 27
NIPSNAP1 58
C2orf83 1
OTP 8
MSH5 5
ZNF707 43
EHBP1 18
CLEC4M 8
CNPPD1 5
PUS1 19
BIRC2 114
PACRG 3
RABGGTB 61
ARHGAP15 5
PRAF2 45
DIMT1 23
CAV3 36
SSX4 2
SLC7A10 1
C12orf73 3
FAM217B 28
POMP 33
FAXC 2
UGT2B15 1
JAKMIP3 1
SLC22A18 28
TMEM30B 84
ABCA12 3
MAPK14 112
YIPF6 87
USP13 35
TNF 92
WFDC12 6
AXL 5
SYNJ2BP 27
ADAM33 40
TMEM185B 1
HLCS 13
TESMIN 2
ORAI3 4
LRP3 3
MYOZ1 34
ADCY8 1
FBXO25 12
SPECC1L 56
SLC35F2 11
FAM102B 4
SMC1A 90
PCDHA13 2
KRTAP3-2 67
TENT2 4
AP5Z1 5
SLC22A12 3
TNS1 9
CYHR1 16
ARRDC5 1
GLIPR2 2
C9orf116 2
PLCD1 14
ITPRIPL2 1
BBX 19
FMO4 1
KRT31 351
OR1D2 1
TRH 2
MLH3 43
ARMC4 1
ERCC6L2 4
WDR5B 24
FNIP1 9
COPS4 48
CCDC153 20
MYOG 48
BUD31 36
SVIL 43
SUMO1 136
POSTN 2
DMKN 10
SDHD 5
XPO6 22
ETFDH 8
DENND6B 1
GCKR 1
DENR 34
RASSF3 34
ZNF655 146
NTSR1 1
BSPRY 22
ITGA8 12
TNFRSF9 5
SENP2 27
PAK1 68
SHB 7
C22orf39 40
COPS3 63
FMNL3 4
CDHR3 3
BACH2 44
SMARCD1 156
C3orf33 7
HNRNPA0 46
CLEC4F 1
FOXL2 50
UPP1 5
MAP3K7 90
BUB1B 60
MARK1 20
HLA-DQA2 1
FZD8 4
EVL 30
BMS1 20
NUAK2 15
CACNA1C 9
HSD17B6 10
CREBZF 19
XRCC4 30
STK32C 4
DNAJC1 28
TSHZ1 1
KANSL1 39
ABCC12 1
CMIP 6
PIGF 8
RGS1 6
ATMIN 4
TUFM 79
SCOC 32
RDH12 15
TVP23B 22
NRBF2 27
RBFOX3 2
TNFRSF21 8
ZSCAN2 1
PNKD 81
CCNA1 45
CXADR 12
LARP6 1
SLC3A2 49
CCDC82 16
KCNJ10 10
ID4 12
SLC30A10 5
TMEM39B 11
RERG 1
TMEM214 36
PRKAG3 7
IL6 3
GTF2IRD1 33
THOC3 23
TRMT13 3
LTA 10
PSMC3 118
BCL2L15 10
GINM1 46
CCDC126 3
PRKAB1 176
ACACA 44
SELENOM 10
CXCL12 23
NTNG1 4
PCDHGB4 55
KRTAP13-2 73
LRRC25 38
SEMA5B 8
JAK2 27
PRG2 44
CPA5 14
TRIM60 1
MARK4 33
RAP2C 15
CD53 72
FBXL12 14
RPS11 67
ATOH7 1
ARF5 34
ANKRD53 2
DDX1 46
CRIM1 2
ONECUT1 1
HSPA12B 10
APLNR 101
CDK2AP1 51
TPTEP2-CSNK1E 2
ISCU 32
AMPD1 13
GABRA6 11
SHC2 5
CBFB 31
ZNF280C 9
DGAT2 2
GIPC2 16
COL26A1 2
CLVS1 2
CIR1 20
LRP1 71
CPT1A 17
CYB561A3 21
ARAP3 1
MAGI1 60
HCFC1R1 2
BET1 319
NARF 9
TNFRSF25 1
FRMD8 10
SIRT5 15
USP16 10
TM4SF19 39
CASP1 21
PKP1 33
HPS5 16
POMK 46
TRIM13 19
BCL2L10 9
NID2 15
FOXO3 45
TRA2B 54
SLC10A7 10
NELFCD 29
EEF1A2 91
TIMM44 39
FGF14 14
POLD4 4
BLM 47
RHBDD3 12
SPATA2L 8
ZNF410 58
ACAD8 13
PATE1 4
CLSTN1 29
CKAP2 31
MIF4GD 25
KLRG1 7
NT5C 11
NAGLU 20
KCNQ2 2
HOXA5 8
PRSS1 6
NLRP11 1
C12orf57 5
LTV1 32
PPP3CB 30
IL12B 5
MVD 8
ZDHHC24 17
MYO7B 3
ZCWPW1 3
PDE6H 5
ANKRD24 5
GPR151 40
SP1 71
ENKD1 200
NRXN3 8
KIF18B 14
MTFP1 10
RAD23B 53
PRM1 1
PLCZ1 6
SPTBN1 81
LYPD6B 1
PM20D2 32
PRKX 5
NPAS2 14
H1-6 82
SNX29 4
PELO 33
HMGB2 40
S100B 21
ABHD14B 1
LRTM1 1
TARS2 29
EDC4 36
RNF144A 17
NPPB 7
UBE2Q1 18
PEX13 10
GLE1 16
MAPK8IP2 74
SGSM2 17
SUSD1 12
OSER1 5
CLIC4 9
ISG15 48
FMNL2 7
SEZ6L2 5
CP 8
CRTC3 20
KLF1 19
ANKRD52 25
ARRDC1 34
BPY2 1
RNASE11 1
RHOU 10
WDR3 21
ELL 27
METTL2B 5
SNX19 6
SERPINB6 5
VN1R5 2
CR1L 1
C1orf216 68
TXK 23
KIAA1549 17
SYCP2 1
NCKAP5 8
NSUN2 47
CCDC85B 28
OR7C1 1
FAM107A 27
CSRP2 12
PRELP 7
ZNF264 28
ERICH1 1
PPIP5K1 1
SLC37A3 19
POLD1 52
KCNE4 4
FAM110B 7
PCNX4 3
BTBD6 9
RPS13 60
PHYHIPL 31
GPCPD1 2
EXOC3L1 7
GBE1 12
THAP7 58
